SSID,MAC,RSSI,Time,Location
SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-68,2025-03-15 12:39:21,5143-3
DGU-GUEST,2a:3f:1b:59:2e:74,-82,2025-03-15 12:39:21,5143-3
DGU-WIFI,ee:55:a8:6e:61:a9,-63,2025-03-15 12:39:21,5143-3
DGU-WIFI,ee:55:b8:6e:51:f5,-85,2025-03-15 12:39:21,5143-3
DIRECT-erC1810 Series,86:25:19:99:6f:c6,-74,2025-03-15 12:39:21,5143-3
6122,70:5d:cc:a3:b1:fa,-63,2025-03-15 12:39:21,5143-3
hri5125,58:86:94:7e:cb:00,-64,2025-03-15 12:39:21,5143-3
LAB8128_5G,00:08:9f:7c:c9:38,-96,2025-03-15 12:39:21,5143-3
SmartClass,f8:9e:28:74:f8:92,-63,2025-03-15 12:39:21,5143-3
,da:55:b8:6e:63:02,-95,2025-03-15 12:39:21,5143-3
DGU-IoT,22:3f:1b:e2:63:60,-68,2025-03-15 12:39:21,5143-3
SmartClass,2e:3f:1b:f3:73:d7,-74,2025-03-15 12:39:21,5143-3
DGU8124,72:5d:cc:4d:72:0c,-65,2025-03-15 12:39:21,5143-3
DGU-IoT,ea:55:b8:6e:51:f5,-85,2025-03-15 12:39:21,5143-3
DGU-IoT,22:3f:1b:59:2e:74,-82,2025-03-15 12:39:21,5143-3
mstwifi5G,58:86:94:99:68:8c,-94,2025-03-15 12:39:21,5143-3
DGU-WIFI,ee:55:a8:6e:54:1e,-68,2025-03-15 12:39:21,5143-3
HRILAB,58:86:94:16:4a:a8,-56,2025-03-15 12:39:21,5143-3
iptime5130_5G,58:86:94:ae:06:df,-74,2025-03-15 12:39:21,5143-3
iptime5130,58:86:94:ae:06:de,-57,2025-03-15 12:39:21,5143-3
eduroam,fe:55:b8:6e:54:1e,-81,2025-03-15 12:39:21,5143-3
CSE-3183,82:de:4b:62:c7:ec,-74,2025-03-15 12:39:21,5143-3
eduroam,fe:55:b8:6e:61:a9,-83,2025-03-15 12:39:21,5143-3
9207,34:fc:b9:c8:d9:a1,-71,2025-03-15 12:39:21,5143-3
9206,34:fc:b9:c8:d9:a0,-72,2025-03-15 12:39:21,5143-3
eduroam,36:3f:0b:e2:65:73,-68,2025-03-15 12:39:21,5143-3
CNWLab,70:5d:cc:39:67:e6,-75,2025-03-15 12:39:21,5143-3
DGU-IoT,ea:55:a8:6e:61:a9,-63,2025-03-15 12:39:21,5143-3
DGU-GUEST,2a:3f:0b:e2:65:73,-68,2025-03-15 12:39:21,5143-3
DGU-dorm,34:fc:b9:c8:d9:a3,-71,2025-03-15 12:39:21,5143-3
CG5105,88:36:6c:0c:b6:4e,-75,2025-03-15 12:39:21,5143-3
SmartClass-IoT,f6:9e:28:74:f8:92,-63,2025-03-15 12:39:21,5143-3
eduroam,fe:55:b8:6e:63:8f,-75,2025-03-15 12:39:21,5143-3
DGU-GUEST,2a:3f:1b:e2:63:60,-68,2025-03-15 12:39:21,5143-3
Ceed,70:5d:cc:ae:04:4a,-87,2025-03-15 12:39:21,5143-3
DGU-GUEST,e2:55:b8:6e:51:f5,-85,2025-03-15 12:39:21,5143-3
DGU-WIFI,26:3f:1b:e2:63:60,-68,2025-03-15 12:39:21,5143-3
,da:55:b8:6e:53:4a,-91,2025-03-15 12:39:21,5143-3
DGU-dorm,34:fc:b9:c8:20:90,-91,2025-03-15 12:39:21,5143-3
FSDLAB,58:86:94:b8:3a:54,-96,2025-03-15 12:39:21,5143-3
7202,34:fc:b9:c8:20:92,-91,2025-03-15 12:39:21,5143-3
,12:3f:1b:59:2e:60,-97,2025-03-15 12:39:21,5143-3
eduroam,36:3f:0b:e2:63:60,-60,2025-03-15 12:39:21,5143-3
,da:55:b8:6e:61:a9,-84,2025-03-15 12:39:21,5143-3
7201,34:fc:b9:c8:20:91,-91,2025-03-15 12:39:21,5143-3
7203,34:fc:b9:c8:20:93,-89,2025-03-15 12:39:21,5143-3
7205,34:fc:b9:c8:fe:d1,-87,2025-03-15 12:39:21,5143-3
DGU-dorm,34:fc:b9:c8:fe:d2,-86,2025-03-15 12:39:21,5143-3
7204,34:fc:b9:c8:fe:d0,-86,2025-03-15 12:39:21,5143-3
,16:11:32:ce:8f:10,-89,2025-03-15 12:39:21,5143-3
5103LAB-2G,88:36:6c:d1:7d:92,-59,2025-03-15 12:39:21,5143-3
DGU-GUEST,e2:55:b8:6e:61:a9,-83,2025-03-15 12:39:21,5143-3
DGU-IoT,ea:55:a8:6e:54:1e,-68,2025-03-15 12:39:21,5143-3
DGU-WIFI,26:3f:0b:e2:63:fb,-74,2025-03-15 12:39:21,5143-3
,da:55:a8:6e:54:1e,-68,2025-03-15 12:39:21,5143-3
DGU-WIFI,26:3f:0b:e2:63:60,-60,2025-03-15 12:39:21,5143-3
DGU-GUEST,e2:55:b8:6e:63:8f,-74,2025-03-15 12:39:21,5143-3
DGU-GUEST,e2:55:b8:6e:54:1e,-82,2025-03-15 12:39:21,5143-3
,da:55:a8:6e:61:a9,-63,2025-03-15 12:39:21,5143-3
DGU-GUEST,e2:55:a8:6e:63:02,-74,2025-03-15 12:39:21,5143-3
SVM5132,70:5d:cc:1d:b2:a8,-78,2025-03-15 12:39:21,5143-3
,da:55:b8:6e:54:2a,-91,2025-03-15 12:39:21,5143-3
eduroam,36:3f:0b:59:2e:60,-79,2025-03-15 12:39:21,5143-3
plrwap,78:db:2f:0f:ee:04,-62,2025-03-15 12:39:21,5143-3
eduroam,36:3f:1b:59:2e:74,-82,2025-03-15 12:39:21,5143-3
,12:3f:0b:e2:66:b0,-84,2025-03-15 12:39:21,5143-3
CILab_5G,88:36:6c:ad:f1:80,-82,2025-03-15 12:39:21,5143-3
eduroam,fe:55:b8:6e:51:f5,-85,2025-03-15 12:39:21,5143-3
NEL,00:11:32:ce:8f:10,-89,2025-03-15 12:39:21,5143-3
DGU-IoT,ea:55:b8:6e:63:8f,-74,2025-03-15 12:39:21,5143-3
DGU-GUEST,2a:3f:0b:e2:63:60,-61,2025-03-15 12:39:21,5143-3
DGU-IoT,ea:55:b8:6e:61:a9,-83,2025-03-15 12:39:21,5143-3
SmartClass-IoT,22:3f:1b:f3:73:d7,-74,2025-03-15 12:39:21,5143-3
ywkim_10135,92:9f:33:47:66:f0,-81,2025-03-15 12:39:21,5143-3
DGU-GUEST,e2:55:a8:6e:54:1e,-68,2025-03-15 12:39:21,5143-3
CILab_2G,8a:36:6c:cd:f1:80,-72,2025-03-15 12:39:21,5143-3
,e6:55:b8:6e:61:a9,-83,2025-03-15 12:39:21,5143-3
ktw,58:86:94:7e:ea:78,-63,2025-03-15 12:39:21,5143-3
CBLAB,88:36:6c:42:04:34,-71,2025-03-15 12:39:21,5143-3
6130_5G-2,70:5d:cc:83:6b:0e,-89,2025-03-15 12:39:21,5143-3
6130_5G-1,70:5d:cc:83:6b:0c,-87,2025-03-15 12:39:21,5143-3
eduroam,36:3f:1b:e2:63:60,-68,2025-03-15 12:39:21,5143-3
DGU-IoT,ea:55:b8:6e:54:1e,-81,2025-03-15 12:39:21,5143-3
DGU-GUEST,e2:55:a8:6e:61:a9,-63,2025-03-15 12:39:21,5143-3
DGU-IoT,22:3f:0b:e2:65:73,-68,2025-03-15 12:39:21,5143-3
