SSID,MAC,RSSI,Time,Location
DGU-WIFI,26:3f:0b:e2:66:14,-45,2025-03-01 14:22:44,888
3163_5G,58:86:94:de:1b:78,-68,2025-03-01 14:22:44,888
,2e:3f:1b:e2:66:14,-59,2025-03-01 14:22:44,888
SmartClass-IoT,f6:9e:38:74:f9:08,-82,2025-03-01 14:22:44,888
,2c:3f:0b:e2:66:14,-45,2025-03-01 14:22:44,888
,2e:3f:1b:e2:66:b0,-77,2025-03-01 14:22:44,888
DGU-IoT,22:3f:1b:e2:66:b0,-77,2025-03-01 14:22:44,888
,12:3f:0b:e2:66:14,-55,2025-03-01 14:22:44,888
DGU-IoT,22:3f:1b:e2:66:3f,-81,2025-03-01 14:22:44,888
DGU-GUEST,2a:3f:0b:e2:66:b0,-71,2025-03-01 14:22:44,888
DGU-GUEST,2a:3f:0b:e2:66:3f,-70,2025-03-01 14:22:44,888
DGU-IoT,22:3f:1b:e2:66:14,-59,2025-03-01 14:22:44,888
DIRECT-97-HP OfficeJet Pro 8710,00:04:ea:45:8a:14,-89,2025-03-01 14:22:44,888
DGU-WIFI,26:3f:0b:e2:66:3f,-70,2025-03-01 14:22:44,888
plrwap,78:db:2f:0f:fb:66,-76,2025-03-01 14:22:44,888
CSE-3183,7a:de:4b:62:c7:eb,-87,2025-03-01 14:22:44,888
DGU-WIFI,26:3f:0b:e2:66:b0,-70,2025-03-01 14:22:44,888
DGU-GUEST,2a:3f:0b:e2:66:14,-45,2025-03-01 14:22:44,888
mstwifi5G,58:86:94:99:68:8c,-88,2025-03-01 14:22:44,888
CSE-3173_5G,70:5d:cc:ca:e6:f4,-77,2025-03-01 14:22:44,888
3166_5G,58:86:94:de:10:e4,-57,2025-03-01 14:22:44,888
mstwifi,58:86:94:99:68:8e,-77,2025-03-01 14:22:44,888
DGU-GUEST,2a:3f:1b:e2:66:b0,-77,2025-03-01 14:22:44,888
CSE-3183,82:de:4b:62:c7:ec,-79,2025-03-01 14:22:44,888
DGU-IoT,22:3f:0b:e2:66:3f,-70,2025-03-01 14:22:44,888
DGU-GUEST,2a:3f:1b:e2:66:3f,-80,2025-03-01 14:22:44,888
eduroam,36:3f:0b:e2:67:13,-74,2025-03-01 14:22:44,888
bang,00:26:66:fe:8d:74,-77,2025-03-01 14:22:44,888
DGU-IoT,22:3f:0b:e2:66:b0,-71,2025-03-01 14:22:44,888
,12:3f:1b:e2:66:b0,-76,2025-03-01 14:22:44,888
plrwap,78:db:2f:0f:fa:ac,-82,2025-03-01 14:22:44,888
DGU-WIFI,26:3f:1b:e2:66:3f,-81,2025-03-01 14:22:44,888
plrwap,78:db:2f:10:04:59,-77,2025-03-01 14:22:44,888
CSE-3173_2.4G,70:5d:cc:cb:e6:f4,-67,2025-03-01 14:22:44,888
eduroam,36:3f:0b:e2:66:3f,-70,2025-03-01 14:22:44,888
