SSID,MAC,RSSI,Time,Location
DGU-WIFI,26:3f:0b:e2:66:14,-40,2025-03-01 14:32:52,1
,2c:3f:0b:e2:66:3f,-74,2025-03-01 14:32:52,1
,2e:3f:1b:e2:64:73,-86,2025-03-01 14:32:52,1
DGU-WIFI,26:3f:0b:e2:64:73,-75,2025-03-01 14:32:52,1
3163_5G,58:86:94:de:1b:78,-73,2025-03-01 14:32:52,1
,2e:3f:1b:e2:66:14,-59,2025-03-01 14:32:52,1
DGU-IoT,22:3f:1b:e2:67:13,-89,2025-03-01 14:32:52,1
plrwap,78:db:2f:0f:fb:06,-87,2025-03-01 14:32:52,1
,12:3f:0b:59:2e:20,-87,2025-03-01 14:32:52,1
nanolab 2.4G,70:5d:cc:a3:86:58,-87,2025-03-01 14:32:52,1
plrwap,78:db:2f:10:01:dd,-86,2025-03-01 14:32:52,1
plrwap,78:db:2f:0f:f2:fd,-91,2025-03-01 14:32:52,1
,2e:3f:1b:e2:66:b0,-77,2025-03-01 14:32:52,1
plrwap,78:db:2f:0f:fe:a3,-85,2025-03-01 14:32:52,1
DGU-IoT,22:3f:1b:e2:66:3f,-77,2025-03-01 14:32:52,1
DGU-GUEST,2a:3f:0b:e2:66:b0,-65,2025-03-01 14:32:52,1
DGU-WIFI,26:3f:1b:59:2e:56,-87,2025-03-01 14:32:52,1
DGU-GUEST,2a:3f:1b:e2:67:13,-89,2025-03-01 14:32:52,1
DGU-IoT,ea:55:b8:6e:4b:9c,-87,2025-03-01 14:32:52,1
DGU-WIFI,26:3f:0b:e2:66:b0,-65,2025-03-01 14:32:52,1
DGU-GUEST,2a:3f:0b:e2:66:14,-40,2025-03-01 14:32:52,1
,12:3f:0b:e2:67:13,-78,2025-03-01 14:32:52,1
HRILAB,58:86:94:16:4a:a8,-84,2025-03-01 14:32:52,1
3166_5G,58:86:94:de:10:e4,-59,2025-03-01 14:32:52,1
,e6:55:b8:6e:4b:9c,-87,2025-03-01 14:32:52,1
DGU-WIFI,26:3f:0b:e2:65:61,-77,2025-03-01 14:32:52,1
,82:de:4b:62:c7:ed,-76,2025-03-01 14:32:52,1
DGU-GUEST,2a:3f:1b:59:2e:56,-87,2025-03-01 14:32:52,1
,12:3f:1b:59:2e:56,-88,2025-03-01 14:32:52,1
CSE-3183,82:de:4b:62:c7:ec,-76,2025-03-01 14:32:52,1
DGU-GUEST,2a:3f:1b:e2:66:3f,-77,2025-03-01 14:32:52,1
eduroam,36:3f:0b:e2:67:13,-67,2025-03-01 14:32:52,1
bang,00:26:66:fe:8d:74,-77,2025-03-01 14:32:52,1
DGU-IoT,22:3f:0b:e2:66:b0,-66,2025-03-01 14:32:52,1
,12:3f:1b:e2:66:b0,-77,2025-03-01 14:32:52,1
DGU-WIFI,26:3f:1b:e2:66:3f,-77,2025-03-01 14:32:52,1
plrwap,78:db:2f:10:04:59,-81,2025-03-01 14:32:52,1
eduroam,36:3f:1b:e2:64:73,-86,2025-03-01 14:32:52,1
eduroam,36:3f:0b:e2:66:3f,-75,2025-03-01 14:32:52,1
plrwap,78:db:2f:0f:ff:d2,-92,2025-03-01 14:32:52,1
3165_5G,58:86:94:de:6c:84,-70,2025-03-01 14:32:52,1
DGU-IoT,22:3f:1b:59:2e:20,-84,2025-03-01 14:32:52,1
eduroam,36:3f:1b:e2:66:14,-59,2025-03-01 14:32:52,1
DGU-GUEST,2a:3f:0b:e2:67:13,-66,2025-03-01 14:32:52,1
eduroam,36:3f:1b:e2:66:b0,-77,2025-03-01 14:32:52,1
DGU-WIFI,ee:55:b8:6e:4b:9c,-87,2025-03-01 14:32:52,1
plrwap,78:db:2f:0f:fa:9a,-78,2025-03-01 14:32:52,1
eduroam,36:3f:1b:59:2e:56,-88,2025-03-01 14:32:52,1
,2c:3f:0b:e2:67:13,-70,2025-03-01 14:32:52,1
,12:3f:1b:e2:66:14,-58,2025-03-01 14:32:52,1
DGU-IoT,22:3f:0b:e2:66:14,-40,2025-03-01 14:32:52,1
CSE-3182_5G,28:ee:52:de:60:ea,-85,2025-03-01 14:32:52,1
DGU-IoT,22:3f:0b:e2:64:73,-75,2025-03-01 14:32:52,1
,2e:3f:1b:59:2e:56,-88,2025-03-01 14:32:52,1
,b2:ee:52:de:60:ed,-71,2025-03-01 14:32:52,1
,2c:3f:0b:e2:66:b0,-68,2025-03-01 14:32:52,1
SmartClass-IoT,f6:9e:38:74:f9:08,-88,2025-03-01 14:32:52,1
DGU-IoT,22:3f:1b:e2:66:b0,-77,2025-03-01 14:32:52,1
,c6:9e:38:74:f9:08,-88,2025-03-01 14:32:52,1
,2e:3f:1b:e2:66:3f,-77,2025-03-01 14:32:52,1
,2e:3f:1b:59:2e:20,-89,2025-03-01 14:32:52,1
DGU-WIFI,26:3f:1b:59:2e:20,-83,2025-03-01 14:32:52,1
DGU-WIFI,26:3f:0b:e2:67:13,-66,2025-03-01 14:32:52,1
,12:3f:0b:e2:66:b0,-72,2025-03-01 14:32:52,1
DGU-GUEST,2a:3f:1b:59:2e:20,-83,2025-03-01 14:32:52,1
DGU-IoT,22:3f:1b:e2:64:73,-86,2025-03-01 14:32:52,1
DGU-GUEST,2a:3f:0b:e2:66:3f,-75,2025-03-01 14:32:52,1
DGU-IoT,22:3f:1b:e2:66:14,-59,2025-03-01 14:32:52,1
eduroam,36:3f:0b:e2:65:61,-78,2025-03-01 14:32:52,1
,b4:fc:75:16:12:4f,-86,2025-03-01 14:32:52,1
plrwap,78:db:2f:0f:fb:66,-74,2025-03-01 14:32:52,1
DGU-WIFI,26:3f:0b:e2:66:3f,-75,2025-03-01 14:32:52,1
,7a:de:4b:62:c7:ec,-89,2025-03-01 14:32:52,1
CSE-3183,7a:de:4b:62:c7:eb,-88,2025-03-01 14:32:52,1
CSE-3173_5G,70:5d:cc:ca:e6:f4,-73,2025-03-01 14:32:52,1
,12:3f:1b:e2:65:61,-92,2025-03-01 14:32:52,1
ktw,58:86:94:7e:ea:78,-91,2025-03-01 14:32:52,1
DGU-GUEST,2a:3f:1b:e2:66:b0,-77,2025-03-01 14:32:52,1
eduroam,fe:55:b8:6e:4b:9c,-87,2025-03-01 14:32:52,1
,12:3f:1b:e2:66:3f,-77,2025-03-01 14:32:52,1
DGU-IoT,22:3f:0b:e2:66:3f,-74,2025-03-01 14:32:52,1
2165,58:86:94:55:20:d0,-88,2025-03-01 14:32:52,1
eduroam,36:3f:1b:59:2e:20,-83,2025-03-01 14:32:52,1
DGU-GUEST,2a:3f:1b:e2:64:73,-87,2025-03-01 14:32:52,1
CSE-3173_2.4G,70:5d:cc:cb:e6:f4,-67,2025-03-01 14:32:52,1
DGU-GUEST,2a:3f:1b:e2:66:14,-59,2025-03-01 14:32:52,1
DGU-IoT,22:3f:0b:e2:67:13,-66,2025-03-01 14:32:52,1
DGU-WIFI,26:3f:1b:e2:66:b0,-77,2025-03-01 14:32:52,1
eduroam,36:3f:0b:e2:66:b0,-66,2025-03-01 14:32:52,1
DGU-WIFI,26:3f:1b:e2:66:14,-59,2025-03-01 14:32:52,1
,12:3f:1b:59:2e:20,-88,2025-03-01 14:32:52,1
,da:55:b8:6e:4b:9c,-86,2025-03-01 14:32:52,1
eduroam,36:3f:0b:e2:66:14,-40,2025-03-01 14:32:52,1
eduroam,36:3f:1b:e2:66:3f,-77,2025-03-01 14:32:52,1
DGU-WIFI,26:3f:1b:e2:64:73,-87,2025-03-01 14:32:52,1
eduroam,36:3f:0b:e2:64:73,-77,2025-03-01 14:32:52,1
,aa:ee:52:de:60:ec,-85,2025-03-01 14:32:52,1
iptime,70:5d:cc:60:cd:b0,-71,2025-03-01 14:32:52,1
plrwap,78:db:2f:0f:fe:9b,-87,2025-03-01 14:32:52,1
eduroam,36:3f:1b:e2:67:13,-90,2025-03-01 14:32:52,1
ICE3169_5G,58:86:94:db:27:e4,-60,2025-03-01 14:32:52,1
DGU-GUEST,e2:55:b8:6e:4b:9c,-86,2025-03-01 14:32:52,1
DGU-IoT,22:3f:1b:59:2e:56,-88,2025-03-01 14:32:52,1
iptime5G,70:5d:cc:60:cd:b2,-89,2025-03-01 14:32:52,1
DGU-WIFI,26:3f:0b:e2:66:14,-47,2025-03-01 14:32:57,1
,2e:3f:1b:e2:64:73,-87,2025-03-01 14:32:57,1
3163_5G,58:86:94:de:1b:78,-71,2025-03-01 14:32:57,1
,2e:3f:1b:e2:66:14,-59,2025-03-01 14:32:57,1
nanolab 2.4G,70:5d:cc:a3:86:58,-87,2025-03-01 14:32:57,1
plrwap,78:db:2f:10:01:dd,-87,2025-03-01 14:32:57,1
,2e:3f:1b:e2:66:b0,-79,2025-03-01 14:32:57,1
eduroam,36:3f:0b:59:2e:20,-77,2025-03-01 14:32:57,1
plrwap,78:db:2f:0f:fe:a3,-84,2025-03-01 14:32:57,1
DGU-IoT,22:3f:1b:e2:66:3f,-78,2025-03-01 14:32:57,1
DGU-GUEST,2a:3f:1b:e2:65:61,-91,2025-03-01 14:32:57,1
DGU-WIFI,26:3f:1b:59:2e:56,-85,2025-03-01 14:32:57,1
DGU-WIFI,26:3f:0b:e2:66:b0,-72,2025-03-01 14:32:57,1
DGU-GUEST,2a:3f:0b:e2:66:14,-47,2025-03-01 14:32:57,1
3166_5G,58:86:94:de:10:e4,-55,2025-03-01 14:32:57,1
DGU-GUEST,2a:3f:1b:59:2e:56,-84,2025-03-01 14:32:57,1
,12:3f:1b:59:2e:56,-85,2025-03-01 14:32:57,1
CSE-3183,82:de:4b:62:c7:ec,-79,2025-03-01 14:32:57,1
DGU-GUEST,2a:3f:1b:e2:66:3f,-78,2025-03-01 14:32:57,1
eduroam,36:3f:0b:e2:67:13,-73,2025-03-01 14:32:57,1
bang,00:26:66:fe:8d:74,-79,2025-03-01 14:32:57,1
DGU-IoT,22:3f:0b:e2:66:b0,-72,2025-03-01 14:32:57,1
,12:3f:1b:e2:66:b0,-79,2025-03-01 14:32:57,1
plrwap,78:db:2f:0f:fa:ac,-79,2025-03-01 14:32:57,1
DGU-WIFI,26:3f:1b:e2:66:3f,-78,2025-03-01 14:32:57,1
plrwap,78:db:2f:10:04:59,-82,2025-03-01 14:32:57,1
eduroam,36:3f:1b:e2:64:73,-86,2025-03-01 14:32:57,1
eduroam,36:3f:0b:e2:66:3f,-71,2025-03-01 14:32:57,1
plrwap,78:db:2f:0f:ff:d2,-91,2025-03-01 14:32:57,1
3165_5G,58:86:94:de:6c:84,-66,2025-03-01 14:32:57,1
DGU-IoT,22:3f:1b:59:2e:20,-85,2025-03-01 14:32:57,1
eduroam,36:3f:1b:e2:66:14,-59,2025-03-01 14:32:57,1
DGU-GUEST,2a:3f:0b:e2:67:13,-73,2025-03-01 14:32:57,1
iptime_2174_54_2.4G,90:9f:33:be:05:fc,-82,2025-03-01 14:32:57,1
DGU-IoT,22:3f:1b:e2:65:61,-91,2025-03-01 14:32:57,1
eduroam,36:3f:1b:e2:66:b0,-79,2025-03-01 14:32:57,1
plrwap,78:db:2f:0f:fa:9a,-75,2025-03-01 14:32:57,1
eduroam,36:3f:1b:59:2e:56,-85,2025-03-01 14:32:57,1
,12:3f:1b:e2:64:73,-86,2025-03-01 14:32:57,1
,12:3f:1b:e2:66:14,-58,2025-03-01 14:32:57,1
DGU-IoT,22:3f:0b:e2:66:14,-47,2025-03-01 14:32:57,1
CSE-3182_2.4G,28:ee:52:de:60:eb,-72,2025-03-01 14:32:57,1
CSE-3182_5G,28:ee:52:de:60:ea,-83,2025-03-01 14:32:57,1
,2e:3f:1b:59:2e:56,-85,2025-03-01 14:32:57,1
,2c:3f:0b:e2:66:b0,-72,2025-03-01 14:32:57,1
DGU-GUEST,2a:3f:0b:59:2e:20,-76,2025-03-01 14:32:57,1
