SSID,MAC,RSSI,Time,Location
eduroam,36:3f:0b:e2:65:8a,-74,2025-03-27 17:00:48,ㄹㅅㅅ
DGU-IoT,22:3f:0b:e2:65:c8,-60,2025-03-27 17:00:48,ㄹㅅㅅ
DGU-WIFI,26:3f:0b:e2:64:73,-57,2025-03-27 17:00:48,ㄹㅅㅅ
3163_5G,58:86:94:de:1b:78,-67,2025-03-27 17:00:48,ㄹㅅㅅ
,2e:3f:1b:e2:66:14,-68,2025-03-27 17:00:48,ㄹㅅㅅ
DGU-GUEST,2a:3f:0b:59:2e:20,-64,2025-03-27 17:00:48,ㄹㅅㅅ
DGU-IoT,22:3f:0b:e2:65:8a,-73,2025-03-27 17:00:48,ㄹㅅㅅ
DGU-GUEST,e2:55:a8:6e:63:02,-73,2025-03-27 17:00:48,ㄹㅅㅅ
DIRECT-3A-HP OfficeJet 9010,82:e8:2c:60:50:3a,-73,2025-03-27 17:00:48,ㄹㅅㅅ
eduroam,36:3f:0b:e2:65:c8,-61,2025-03-27 17:00:48,ㄹㅅㅅ
,2e:3f:1b:e2:66:b0,-73,2025-03-27 17:00:48,ㄹㅅㅅ
DGU-IoT,22:3f:1b:e2:66:b0,-74,2025-03-27 17:00:48,ㄹㅅㅅ
,12:3f:0b:e2:64:73,-58,2025-03-27 17:00:48,ㄹㅅㅅ
DGU-IoT,ea:55:a8:6e:63:02,-72,2025-03-27 17:00:48,ㄹㅅㅅ
,2c:3f:0b:e2:64:73,-59,2025-03-27 17:00:48,ㄹㅅㅅ
,da:55:a8:6e:53:20,-77,2025-03-27 17:00:48,ㄹㅅㅅ
DGU-GUEST,2a:3f:0b:e2:66:b0,-69,2025-03-27 17:00:48,ㄹㅅㅅ
DGU-IoT,22:3f:1b:e2:64:73,-65,2025-03-27 17:00:48,ㄹㅅㅅ
eduroam,fe:55:a8:6e:63:02,-72,2025-03-27 17:00:48,ㄹㅅㅅ
DGU-IoT,22:3f:1b:e2:66:14,-69,2025-03-27 17:00:48,ㄹㅅㅅ
DGU-WIFI,ee:55:a8:6e:53:20,-77,2025-03-27 17:00:48,ㄹㅅㅅ
DGU-GUEST,2a:3f:0b:e2:64:73,-59,2025-03-27 17:00:48,ㄹㅅㅅ
,e4:55:a8:6e:53:20,-74,2025-03-27 17:00:48,ㄹㅅㅅ
