SSID,MAC,RSSI,Time,Location
SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-59,2025-04-03 18:03:06,hall_5143_1_1
DGU-GUEST,2a:3f:1b:59:2e:74,-79,2025-04-03 18:03:06,hall_5143_1_1
DGU-IoT,22:3f:0b:59:2e:74,-67,2025-04-03 18:03:06,hall_5143_1_1
DGU-WIFI,ee:55:b8:6e:51:f5,-87,2025-04-03 18:03:06,hall_5143_1_1
6122,70:5d:cc:a3:b1:fa,-68,2025-04-03 18:03:06,hall_5143_1_1
DGU-IoT,22:3f:1b:e2:65:79,-84,2025-04-03 18:03:06,hall_5143_1_1
,2c:3f:0b:e2:63:fb,-67,2025-04-03 18:03:06,hall_5143_1_1
,2c:3f:0b:e2:63:60,-57,2025-04-03 18:03:06,hall_5143_1_1
,12:3f:0b:e2:63:fb,-67,2025-04-03 18:03:06,hall_5143_1_1
,16:11:32:ce:8f:0f,-79,2025-04-03 18:03:06,hall_5143_1_1
,2e:3f:1b:59:2e:60,-84,2025-04-03 18:03:06,hall_5143_1_1
,12:3f:0b:e2:63:60,-59,2025-04-03 18:03:06,hall_5143_1_1
DGU-WIFI,26:3f:1b:59:2e:60,-84,2025-04-03 18:03:06,hall_5143_1_1
SmartClass,f8:9e:28:74:f8:92,-69,2025-04-03 18:03:06,hall_5143_1_1
,da:55:a8:6e:63:55,-73,2025-04-03 18:03:06,hall_5143_1_1
DGU-GUEST,2a:3f:1b:59:2e:60,-83,2025-04-03 18:03:06,hall_5143_1_1
,da:55:b8:6e:63:02,-90,2025-04-03 18:03:06,hall_5143_1_1
DGU-IoT,22:3f:1b:e2:63:60,-67,2025-04-03 18:03:06,hall_5143_1_1
SmartClass,2e:3f:1b:f3:73:d7,-80,2025-04-03 18:03:06,hall_5143_1_1
DGU-IoT,22:3f:1b:e2:63:fb,-74,2025-04-03 18:03:06,hall_5143_1_1
,e6:55:b8:6e:51:f5,-86,2025-04-03 18:03:06,hall_5143_1_1
DGU-GUEST,2a:3f:0b:59:2e:74,-67,2025-04-03 18:03:06,hall_5143_1_1
