SSID,MAC,RSSI,Time,Location
25139,,da:55:a8:6e:54:2a,-55,2025-04-24 16:49:18,hall_6141_1_10
25140,DGU-WIFI,26:3f:0b:e2:65:b6,-56,2025-04-24 16:49:18,hall_6141_1_10
25141,DGU-WIFI,ee:55:a8:6e:54:2a,-56,2025-04-24 16:49:18,hall_6141_1_10
25142,,e4:55:a8:6e:54:2a,-56,2025-04-24 16:49:18,hall_6141_1_10
25143,DGU-GUEST,2a:3f:0b:e2:65:b6,-56,2025-04-24 16:49:18,hall_6141_1_10
25144,DGU-IoT,22:3f:0b:e2:65:b6,-56,2025-04-24 16:49:18,hall_6141_1_10
25145,eduroam,36:3f:0b:e2:65:b6,-56,2025-04-24 16:49:18,hall_6141_1_10
25146,,2c:3f:0b:e2:65:b6,-56,2025-04-24 16:49:18,hall_6141_1_10
25147,DGU-IoT,ea:55:a8:6e:54:2a,-56,2025-04-24 16:49:18,hall_6141_1_10
25148,eduroam,fe:55:a8:6e:54:2a,-57,2025-04-24 16:49:18,hall_6141_1_10
25149,ncsa,90:9f:33:90:6f:a6,-57,2025-04-24 16:49:18,hall_6141_1_10
25150,DGU-GUEST,e2:55:a8:6e:54:2a,-57,2025-04-24 16:49:18,hall_6141_1_10
25151,iptime5130,58:86:94:ae:06:de,-59,2025-04-24 16:49:18,hall_6141_1_10
25152,,e4:55:a8:6e:63:55,-60,2025-04-24 16:49:18,hall_6141_1_10
25153,DGU-GUEST,e2:55:a8:6e:63:55,-60,2025-04-24 16:49:18,hall_6141_1_10
25154,SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-60,2025-04-24 16:49:18,hall_6141_1_10
25155,DGU-WIFI,ee:55:a8:6e:63:55,-60,2025-04-24 16:49:18,hall_6141_1_10
25156,eduroam,fe:55:a8:6e:63:55,-60,2025-04-24 16:49:18,hall_6141_1_10
25157,DGU-GUEST,e2:55:a8:6e:51:f5,-60,2025-04-24 16:49:18,hall_6141_1_10
25158,eduroam,fe:55:a8:6e:51:f5,-60,2025-04-24 16:49:18,hall_6141_1_10
25159,6134,58:86:94:a1:6e:5c,-61,2025-04-24 16:49:18,hall_6141_1_10
25160,DGU-IoT,ea:55:a8:6e:63:55,-61,2025-04-24 16:49:18,hall_6141_1_10
25161,6141,70:5d:cc:a3:b4:aa,-62,2025-04-24 16:49:18,hall_6141_1_10
25162,,da:55:a8:6e:51:f5,-62,2025-04-24 16:49:18,hall_6141_1_10
25163,7132,58:86:94:84:20:d2,-63,2025-04-24 16:49:18,hall_6141_1_10
25164,6130,72:5d:cc:c3:6b:0c,-64,2025-04-24 16:49:18,hall_6141_1_10
25165,,da:55:a8:6e:63:55,-65,2025-04-24 16:49:18,hall_6141_1_10
25166,DGU-GUEST,2a:3f:1b:e2:65:b6,-66,2025-04-24 16:49:18,hall_6141_1_10
25167,DGU-WIFI,26:3f:1b:e2:65:b6,-66,2025-04-24 16:49:18,hall_6141_1_10
25168,DGU-IoT,22:3f:1b:e2:65:b6,-66,2025-04-24 16:49:18,hall_6141_1_10
25169,eduroam,36:3f:1b:e2:65:b6,-66,2025-04-24 16:49:18,hall_6141_1_10
25170,,12:3f:0b:e2:65:b0,-66,2025-04-24 16:49:18,hall_6141_1_10
25171,,2e:3f:1b:e2:65:b6,-66,2025-04-24 16:49:18,hall_6141_1_10
25172,,12:3f:1b:e2:65:b6,-66,2025-04-24 16:49:18,hall_6141_1_10
25173,CILab_2G,8a:36:6c:cd:f1:80,-66,2025-04-24 16:49:18,hall_6141_1_10
25174,DGU-GUEST,e2:55:a8:6e:52:ac,-67,2025-04-24 16:49:18,hall_6141_1_10
25175,,12:3f:0b:e2:65:b6,-67,2025-04-24 16:49:18,hall_6141_1_10
25176,DGU-GUEST,2a:3f:0b:e2:65:73,-67,2025-04-24 16:49:18,hall_6141_1_10
25177,HRILAB,58:86:94:16:4a:a8,-68,2025-04-24 16:49:18,hall_6141_1_10
25178,cpc8134,5a:86:94:4e:dc:10,-68,2025-04-24 16:49:18,hall_6141_1_10
25179,DGU-IoT,ea:55:a8:6e:52:ac,-68,2025-04-24 16:49:18,hall_6141_1_10
25180,DGU-WIFI,26:3f:0b:e2:65:9a,-69,2025-04-24 16:49:18,hall_6141_1_10
25181,DGU-GUEST,e2:55:a8:6e:63:02,-69,2025-04-24 16:49:18,hall_6141_1_10
25182,DGU-WIFI,ee:55:a8:6e:63:02,-69,2025-04-24 16:49:18,hall_6141_1_10
25183,DGU-WIFI,ee:55:a8:6e:52:ac,-69,2025-04-24 16:49:18,hall_6141_1_10
25184,eduroam,fe:55:a8:6e:52:ac,-69,2025-04-24 16:49:18,hall_6141_1_10
25185,8136호,88:36:6c:42:28:50,-69,2025-04-24 16:49:18,hall_6141_1_10
25186,DGU-GUEST,2a:3f:0b:e2:65:9a,-69,2025-04-24 16:49:18,hall_6141_1_10
25187,DGU-GUEST,e2:55:a8:6e:61:a9,-70,2025-04-24 16:49:18,hall_6141_1_10
25188,DGU-IoT,ea:55:a8:6e:61:a9,-70,2025-04-24 16:49:18,hall_6141_1_10
25189,eduroam,fe:55:a8:6e:61:a9,-70,2025-04-24 16:49:18,hall_6141_1_10
25190,iptime,70:5d:cc:ae:04:48,-70,2025-04-24 16:49:18,hall_6141_1_10
25191,DGU-IoT,22:3f:0b:e2:65:9a,-70,2025-04-24 16:49:18,hall_6141_1_10
25192,eduroam,36:3f:0b:e2:65:9a,-70,2025-04-24 16:49:18,hall_6141_1_10
25193,mstwifi,58:86:94:99:68:8e,-71,2025-04-24 16:49:18,hall_6141_1_10
25194,kwon,58:86:94:16:3d:88,-71,2025-04-24 16:49:18,hall_6141_1_10
25195,,e4:55:a8:6e:61:a9,-71,2025-04-24 16:49:18,hall_6141_1_10
25196,CSE-3182_2.4G,28:ee:52:de:60:eb,-71,2025-04-24 16:49:18,hall_6141_1_10
25197,DGU-dorm,34:fc:b9:c8:d9:a3,-72,2025-04-24 16:49:18,hall_6141_1_10
25198,,da:55:a8:6e:61:a9,-72,2025-04-24 16:49:18,hall_6141_1_10
25199,DIRECT-FA C56x Series,86:25:19:c3:49:fa,-73,2025-04-24 16:49:18,hall_6141_1_10
25200,DGU-GUEST,e2:55:a8:6e:53:4a,-73,2025-04-24 16:49:18,hall_6141_1_10
25201,plrwap,78:db:2f:0f:eb:aa,-73,2025-04-24 16:49:18,hall_6141_1_10
25202,DGU-IoT,ea:55:a8:6e:63:8f,-73,2025-04-24 16:49:18,hall_6141_1_10
25203,eduroam,fe:55:a8:6e:63:8f,-73,2025-04-24 16:49:18,hall_6141_1_10
25204,10130,58:86:94:9d:ca:b8,-73,2025-04-24 16:49:18,hall_6141_1_10
25205,10131_2.4G,90:9f:33:28:ca:9a,-74,2025-04-24 16:49:18,hall_6141_1_10
25206,DGU-WIFI,ee:55:a8:6e:53:4a,-74,2025-04-24 16:49:18,hall_6141_1_10
25207,DGU-IoT,ea:55:a8:6e:53:4a,-74,2025-04-24 16:49:18,hall_6141_1_10
25208,8201,34:fc:b9:c8:f0:40,-75,2025-04-24 16:49:18,hall_6141_1_10
25209,ywkim_10135,92:9f:33:47:66:f0,-75,2025-04-24 16:49:18,hall_6141_1_10
25210,DGU-GUEST,2a:3f:1b:e2:65:9a,-76,2025-04-24 16:49:18,hall_6141_1_10
25211,DGU-IoT,22:3f:1b:e2:65:9a,-76,2025-04-24 16:49:18,hall_6141_1_10
25212,eduroam,36:3f:1b:e2:65:9a,-76,2025-04-24 16:49:18,hall_6141_1_10
25213,8203,34:fc:b9:c8:f0:42,-76,2025-04-24 16:49:18,hall_6141_1_10
25214,7203,34:fc:b9:c8:20:83,-76,2025-04-24 16:49:18,hall_6141_1_10
25215,DGU-WIFI,26:3f:1b:e2:65:9a,-77,2025-04-24 16:49:18,hall_6141_1_10
25216,DGU-WIFI,26:3f:1b:e2:65:b0,-77,2025-04-24 16:49:18,hall_6141_1_10
25217,DGU-IoT,22:3f:1b:e2:65:b0,-77,2025-04-24 16:49:18,hall_6141_1_10
25218,eduroam,36:3f:1b:e2:65:b0,-77,2025-04-24 16:49:18,hall_6141_1_10
25219,,12:3f:0b:59:2e:74,-77,2025-04-24 16:49:18,hall_6141_1_10
25220,DGU-GUEST,2a:3f:1b:e2:65:b0,-78,2025-04-24 16:49:18,hall_6141_1_10
25221,,12:3f:1b:e2:65:b0,-78,2025-04-24 16:49:18,hall_6141_1_10
25222,,2e:3f:1b:e2:65:b0,-78,2025-04-24 16:49:18,hall_6141_1_10
25223,8202,34:fc:b9:c8:f0:41,-78,2025-04-24 16:49:18,hall_6141_1_10
25224,DGU-GUEST,2a:3f:1b:e2:66:20,-79,2025-04-24 16:49:18,hall_6141_1_10
25225,DGU-WIFI,26:3f:1b:e2:66:20,-79,2025-04-24 16:49:18,hall_6141_1_10
25226,DGU-IoT,22:3f:1b:e2:66:20,-79,2025-04-24 16:49:18,hall_6141_1_10
25227,eduroam,36:3f:1b:e2:66:20,-79,2025-04-24 16:49:18,hall_6141_1_10
25228,,12:3f:1b:e2:66:20,-79,2025-04-24 16:49:18,hall_6141_1_10
25229,[LG_AirPurifier]156e,1e:39:29:78:15:6e,-79,2025-04-24 16:49:18,hall_6141_1_10
25230,Hello,98:de:d0:50:77:1c,-79,2025-04-24 16:49:18,hall_6141_1_10
25231,6130_5G-2,70:5d:cc:83:6b:0e,-81,2025-04-24 16:49:18,hall_6141_1_10
25232,CSE-3183,82:de:4b:62:c7:ec,-81,2025-04-24 16:49:18,hall_6141_1_10
25233,,da:55:b8:6e:63:55,-83,2025-04-24 16:49:18,hall_6141_1_10
25234,8206,34:fc:b9:c9:02:a0,-84,2025-04-24 16:49:18,hall_6141_1_10
25235,,da:55:b8:6e:54:1e,-84,2025-04-24 16:49:18,hall_6141_1_10
25236,,da:55:b8:6e:54:2a,-85,2025-04-24 16:49:18,hall_6141_1_10
25237,,da:55:b8:6e:53:4a,-86,2025-04-24 16:49:18,hall_6141_1_10
25238,,da:55:b8:6e:63:8f,-86,2025-04-24 16:49:18,hall_6141_1_10
25239,6130_5G-1,70:5d:cc:83:6b:0c,-87,2025-04-24 16:49:18,hall_6141_1_10
25240,eduroam,36:3f:0b:e2:65:b6,-53,2025-04-24 16:50:27,hall_6141_1_10
25241,DGU-WIFI,26:3f:0b:e2:65:b6,-54,2025-04-24 16:50:27,hall_6141_1_10
25242,DGU-GUEST,2a:3f:0b:e2:65:b6,-54,2025-04-24 16:50:27,hall_6141_1_10
25243,DGU-IoT,22:3f:0b:e2:65:b6,-54,2025-04-24 16:50:27,hall_6141_1_10
25244,,2c:3f:0b:e2:65:b6,-54,2025-04-24 16:50:27,hall_6141_1_10
25245,iptime5130,58:86:94:ae:06:de,-56,2025-04-24 16:50:27,hall_6141_1_10
25246,ncsa,90:9f:33:90:6f:a6,-58,2025-04-24 16:50:27,hall_6141_1_10
25247,6134,58:86:94:a1:6e:5c,-58,2025-04-24 16:50:27,hall_6141_1_10
25248,,12:3f:0b:e2:65:b6,-60,2025-04-24 16:50:27,hall_6141_1_10
