Location,MAC,avg_rssi,var_rssi,std_rssi,max_rssi,min_rssi,count
ev_5_1_1,00:11:32:7c:45:c9,-87.0,4.444444444444422,2.1081851067789144,-85,-89,10
ev_5_1_1,12:3f:0b:59:2d:a4,-71.0,0.0,0.0,-71,-71,5
ev_5_1_1,12:3f:0b:59:2e:74,-65.5,0.2777777777777761,0.5270462766947284,-65,-66,10
ev_5_1_1,12:3f:0b:e2:63:60,-67.0,10.000000000000004,3.16227766016838,-64,-70,10
ev_5_1_1,12:3f:0b:e2:63:fb,-48.5,2.500000000000001,1.58113883008419,-47,-50,10
ev_5_1_1,12:3f:0b:e2:65:79,-81.5,6.944444444444444,2.6352313834736494,-79,-84,10
ev_5_1_1,12:3f:0b:e2:65:b0,-74.0,7.8947368421052255,2.8097574347450753,-71,-78,20
ev_5_1_1,12:3f:0b:e2:67:10,-68.5,0.2777777777777761,0.5270462766947284,-68,-69,10
ev_5_1_1,12:3f:1b:59:2e:74,-78.0,5.000000000000002,2.2360679774997902,-75,-80,15
ev_5_1_1,12:3f:1b:e2:63:60,-68.5,6.578947368421066,2.5649458802128877,-65,-72,20
ev_5_1_1,12:3f:1b:e2:67:10,-73.75,19.144736842105296,4.375469899577107,-69,-78,20
ev_5_1_1,12:3f:1b:e2:67:13,-92.0,0.0,0.0,-92,-92,5
ev_5_1_1,12:3f:1b:f3:73:d7,-91.0,0.0,0.0,-91,-91,5
ev_5_1_1,16:11:32:7c:45:c9,-89.5,22.500000000000004,4.743416490252569,-85,-94,10
ev_5_1_1,1c:28:af:ae:f9:62,-73.25,3.881578947368428,1.9701723141310326,-70,-75,20
ev_5_1_1,22:3f:0b:59:2d:a4,-73.66666666666667,3.8095238095237876,1.9518001458970606,-71,-75,15
ev_5_1_1,22:3f:0b:59:2e:60,-60.166666666666664,2.2126436781609167,1.4874957741657342,-58,-63,30
ev_5_1_1,22:3f:0b:59:2e:74,-67.0,1.7241379310345075,1.313064328597235,-65,-69,30
ev_5_1_1,22:3f:0b:e2:63:60,-63.666666666666664,6.091954022988501,2.468188409135028,-61,-67,30
ev_5_1_1,22:3f:0b:e2:63:fb,-51.833333333333336,1.5229885057471269,1.2340942045675147,-50,-54,30
ev_5_1_1,22:3f:0b:e2:65:79,-78.66666666666667,6.666666666666666,2.581988897471611,-76,-82,15
ev_5_1_1,22:3f:0b:e2:65:b0,-74.16666666666667,1.8678160919540219,1.3666806839763346,-73,-76,30
ev_5_1_1,22:3f:0b:e2:66:60,-80.0,0.0,0.0,-80,-80,5
ev_5_1_1,22:3f:0b:e2:67:10,-68.0,1.7241379310344882,1.3130643285972277,-66,-70,30
ev_5_1_1,22:3f:0b:e2:67:13,-80.0,0.0,0.0,-80,-80,5
ev_5_1_1,22:3f:1b:59:2e:74,-78.16666666666667,4.626436781609194,2.150915335760381,-75,-81,30
ev_5_1_1,22:3f:1b:e2:63:60,-68.16666666666667,3.5919540229885305,1.895245108947265,-66,-72,30
ev_5_1_1,22:3f:1b:e2:67:10,-75.0,21.25000000000003,4.609772228646447,-69,-79,25
ev_5_1_1,22:3f:1b:f3:73:d7,-91.0,0.0,0.0,-91,-91,5
ev_5_1_1,26:3f:0b:59:2d:a4,-74.75,0.7236842105263177,0.8506963092234018,-74,-76,20
ev_5_1_1,26:3f:0b:59:2e:74,-67.33333333333333,1.6091954022988622,1.2685406585123167,-65,-69,30
ev_5_1_1,26:3f:0b:e2:63:60,-63.333333333333336,5.747126436781633,2.397316507426926,-61,-67,30
ev_5_1_1,26:3f:0b:e2:63:fb,-51.5,1.982758620689655,1.408104619937615,-50,-54,30
ev_5_1_1,26:3f:0b:e2:65:79,-77.5,2.5,1.5811388300841898,-76,-79,10
ev_5_1_1,26:3f:0b:e2:65:b0,-74.16666666666667,1.8678160919540219,1.3666806839763346,-73,-76,30
ev_5_1_1,26:3f:0b:e2:66:60,-81.0,1.1111111111111143,1.0540925533894612,-80,-82,10
ev_5_1_1,26:3f:0b:e2:67:10,-68.2,0.9999999999999983,0.9999999999999991,-67,-70,25
ev_5_1_1,26:3f:1b:59:2e:74,-78.16666666666667,4.626436781609194,2.150915335760381,-75,-81,30
ev_5_1_1,26:3f:1b:e2:63:60,-68.0,4.482758620689686,2.1172526114494903,-65,-72,30
ev_5_1_1,26:3f:1b:e2:67:10,-75.5,18.879310344827626,4.345032835874503,-69,-79,30
ev_5_1_1,2a:3f:0b:59:2d:a4,-74.83333333333333,3.5919540229884928,1.895245108947255,-72,-77,30
ev_5_1_1,2a:3f:0b:59:2e:60,-60.666666666666664,1.2643678160919551,1.1244411127720095,-60,-63,30
ev_5_1_1,2a:3f:0b:59:2e:74,-67.0,1.0344827586206715,1.0170952554312067,-65,-68,30
ev_5_1_1,2a:3f:0b:e2:63:60,-63.0,5.517241379310343,2.3488808780588135,-61,-67,30
ev_5_1_1,2a:3f:0b:e2:63:fb,-51.666666666666664,1.9540229885057476,1.3978637231524922,-50,-54,30
ev_5_1_1,2a:3f:0b:e2:65:79,-80.5,6.944444444444444,2.6352313834736494,-78,-83,10
ev_5_1_1,2a:3f:0b:e2:65:b0,-74.0,1.3793103448275879,1.1744404390294076,-73,-76,30
ev_5_1_1,2a:3f:0b:e2:66:60,-82.0,0.0,0.0,-82,-82,5
ev_5_1_1,2a:3f:0b:e2:67:10,-67.83333333333333,1.8678160919540243,1.3666806839763355,-66,-70,30
ev_5_1_1,2a:3f:0b:e2:67:13,-81.0,0.0,0.0,-81,-81,5
ev_5_1_1,2a:3f:1b:59:2e:74,-78.0,5.517241379310341,2.348880878058813,-75,-81,30
ev_5_1_1,2a:3f:1b:e2:63:60,-68.0,4.827586206896576,2.197176872010211,-65,-72,30
ev_5_1_1,2a:3f:1b:e2:63:fb,-61.74074074074074,2.5071225071225105,1.5833895626542795,-61,-65,27
ev_5_1_1,2a:3f:1b:e2:67:10,-75.5,18.879310344827626,4.345032835874503,-69,-79,30
ev_5_1_1,2c:3f:0b:59:2e:74,-68.0,0.0,0.0,-68,-68,5
ev_5_1_1,2c:3f:0b:e2:63:60,-64.5,2.5,1.5811388300841898,-63,-66,10
ev_5_1_1,2c:3f:0b:e2:63:fb,-51.5,2.500000000000001,1.58113883008419,-50,-53,10
ev_5_1_1,2c:3f:0b:e2:65:79,-81.0,0.0,0.0,-81,-81,5
ev_5_1_1,2c:3f:0b:e2:65:b0,-74.75,0.7236842105263158,0.8506963092234007,-74,-76,20
ev_5_1_1,2c:3f:0b:e2:67:10,-65.5,0.2777777777777761,0.5270462766947284,-65,-66,10
ev_5_1_1,2e:3f:1b:59:2e:74,-77.5,2.5,1.5811388300841898,-76,-79,10
ev_5_1_1,2e:3f:1b:e2:63:60,-69.0,6.4285714285714395,2.535462764185552,-66,-72,15
ev_5_1_1,2e:3f:1b:e2:67:10,-75.66666666666667,17.380952380952387,4.169046939163961,-70,-79,15
ev_5_1_1,32:cd:a7:32:0e:12,-62.333333333333336,22.643678160919514,4.758537397238727,-55,-68,30
ev_5_1_1,34:fc:b9:c8:20:83,-86.0,0.0,0.0,-86,-86,5
ev_5_1_1,36:3f:0b:59:2d:a4,-74.4,3.1666666666666505,1.779513042005214,-72,-77,25
ev_5_1_1,36:3f:0b:59:2e:60,-60.5,1.63793103448276,1.2798167972341823,-59,-63,30
ev_5_1_1,36:3f:0b:59:2e:74,-66.83333333333333,0.8333333333333436,0.9128709291752825,-65,-68,30
ev_5_1_1,36:3f:0b:e2:63:60,-63.333333333333336,5.747126436781633,2.397316507426926,-61,-67,30
ev_5_1_1,36:3f:0b:e2:63:fb,-51.666666666666664,0.9195402298850579,0.9589266029707685,-50,-53,30
ev_5_1_1,36:3f:0b:e2:65:79,-79.0,5.000000000000002,2.2360679774997902,-77,-82,15
ev_5_1_1,36:3f:0b:e2:65:b0,-73.2,1.0000000000000082,1.000000000000004,-72,-75,25
ev_5_1_1,36:3f:0b:e2:66:60,-80.0,0.0,0.0,-80,-80,5
ev_5_1_1,36:3f:0b:e2:67:10,-67.5,0.2631578947368382,0.5129891760425732,-67,-68,20
ev_5_1_1,36:3f:0b:e2:67:13,-81.0,0.0,0.0,-81,-81,5
ev_5_1_1,36:3f:1b:59:2e:74,-78.33333333333333,4.712643678160919,2.1708624272765236,-75,-81,30
ev_5_1_1,36:3f:1b:e2:63:60,-68.16666666666667,4.2816091954022975,2.069204966986668,-65,-72,30
ev_5_1_1,36:3f:1b:e2:67:10,-75.83333333333333,17.72988505747128,4.210687005403189,-70,-79,30
ev_5_1_1,3c:7c:3f:3e:1f:c8,-85.0,0.0,0.0,-85,-85,5
ev_5_1_1,58:86:94:a1:6e:5c,-75.0,0.0,0.0,-75,-75,5
ev_5_1_1,58:86:94:ae:06:de,-63.25,9.144736842105255,3.0240265941464957,-59,-66,20
ev_5_1_1,58:86:94:ae:06:df,-74.5,5.431034482758566,2.3304579984969833,-71,-77,30
ev_5_1_1,58:86:94:ea:f7:4c,-77.6,0.2499999999999932,0.49999999999999317,-77,-78,25
ev_5_1_1,68:27:19:3d:b8:2d,-69.0,2.083333333333335,1.443375672974065,-67,-71,25
ev_5_1_1,70:5d:cc:1d:b2:a8,-69.16666666666667,6.005747126436815,2.4506625892678118,-65,-72,30
ev_5_1_1,70:5d:cc:39:67:e4,-79.83333333333333,9.109195402298857,3.0181443640586276,-75,-85,30
ev_5_1_1,70:5d:cc:a3:b1:fa,-84.0,0.0,0.0,-84,-84,5
ev_5_1_1,72:5d:cc:4d:b2:a8,-63.25,3.881578947368414,1.970172314131029,-61,-66,20
ev_5_1_1,72:5d:cc:c3:6b:0c,-88.0,0.0,0.0,-88,-88,5
ev_5_1_1,78:db:2f:0f:ec:59,-69.0,0.0,0.0,-69,-69,5
