2025-03-29 23:49:12,724 INFO    MainThread:43203 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-29 23:49:12,725 INFO    MainThread:43203 [wandb_setup.py:_flush():67] Configure stats pid to 43203
2025-03-29 23:49:12,725 INFO    MainThread:43203 [wandb_setup.py:_flush():67] Loading settings from /Users/gichanpark/.config/wandb/settings
2025-03-29 23:49:12,725 INFO    MainThread:43203 [wandb_setup.py:_flush():67] Loading settings from /Users/gichanpark/Desktop/castone_design/wandb/settings
2025-03-29 23:49:12,725 INFO    MainThread:43203 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-29 23:49:12,725 INFO    MainThread:43203 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/gichanpark/Desktop/castone_design/wandb/run-20250329_234912-c3cg05na/logs/debug.log
2025-03-29 23:49:12,725 INFO    MainThread:43203 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/gichanpark/Desktop/castone_design/wandb/run-20250329_234912-c3cg05na/logs/debug-internal.log
2025-03-29 23:49:12,726 INFO    MainThread:43203 [wandb_init.py:init():761] calling init triggers
2025-03-29 23:49:12,726 INFO    MainThread:43203 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-29 23:49:12,726 INFO    MainThread:43203 [wandb_init.py:init():784] starting backend
2025-03-29 23:49:12,726 INFO    MainThread:43203 [wandb_init.py:init():788] sending inform_init request
2025-03-29 23:49:12,759 INFO    MainThread:43203 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-29 23:49:12,759 INFO    MainThread:43203 [wandb_init.py:init():798] backend started and connected
2025-03-29 23:49:12,763 INFO    MainThread:43203 [wandb_init.py:init():891] updated telemetry
2025-03-29 23:49:12,783 INFO    MainThread:43203 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-29 23:49:13,156 INFO    MainThread:43203 [wandb_init.py:init():990] starting run threads in backend
2025-03-29 23:49:13,209 INFO    MainThread:43203 [wandb_run.py:_console_start():2375] atexit reg
2025-03-29 23:49:13,209 INFO    MainThread:43203 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-29 23:49:13,209 INFO    MainThread:43203 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-29 23:49:13,209 INFO    MainThread:43203 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-29 23:49:13,211 INFO    MainThread:43203 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-29 23:49:13,211 INFO    MainThread:43203 [wandb_run.py:_config_callback():1261] config_cb None None {'epochs': 100, 'early_stopping': True, 'model': 'WifiCNNTransformer'}
2025-03-29 23:51:13,185 INFO    MainThread:43203 [wandb_run.py:_finish():2112] finishing run dguyanglab/wifi-fingerprinting/c3cg05na
2025-03-29 23:51:13,186 INFO    MainThread:43203 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-29 23:51:13,186 INFO    MainThread:43203 [wandb_run.py:_restore():2322] restore
2025-03-29 23:51:13,186 INFO    MainThread:43203 [wandb_run.py:_restore():2328] restore done
2025-03-29 23:51:14,441 INFO    MainThread:43203 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-29 23:51:14,442 INFO    MainThread:43203 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-29 23:51:14,442 INFO    MainThread:43203 [wandb_run.py:_footer_sync_info():3917] logging synced files
