                                                                                                         
[Epoch 1] Train Acc: 1.49% | Val Acc: 1.37%
[Epoch 2] Train Acc: 2.17% | Val Acc: 2.39%
[Epoch 3] Train Acc: 2.64% | Val Acc: 1.71%
[Epoch 4] Train Acc: 3.45% | Val Acc: 2.73%
[Epoch 5] Train Acc: 4.26% | Val Acc: 1.71%
[Epoch 6] Train Acc: 4.90% | Val Acc: 1.37%
[Epoch 7] Train Acc: 4.86% | Val Acc: 4.44%
[Epoch 8] Train Acc: 5.20% | Val Acc: 5.12%
[Epoch 9] Train Acc: 5.84% | Val Acc: 7.17%
[Epoch 10] Train Acc: 5.79% | Val Acc: 7.51%
[Epoch 11] Train Acc: 6.56% | Val Acc: 7.17%
[Epoch 12] Train Acc: 8.05% | Val Acc: 6.48%
[Epoch 13] Train Acc: 8.27% | Val Acc: 9.90%
[Epoch 14] Train Acc: 7.71% | Val Acc: 8.19%
[Epoch 15] Train Acc: 8.14% | Val Acc: 8.87%
[Epoch 16] Train Acc: 8.86% | Val Acc: 10.58%
[Epoch 17] Train Acc: 9.20% | Val Acc: 7.17%
[Epoch 18] Train Acc: 9.08% | Val Acc: 8.87%
[Epoch 19] Train Acc: 10.57% | Val Acc: 9.56%
[Epoch 20] Train Acc: 11.21% | Val Acc: 9.90%
[Epoch 21] Train Acc: 11.08% | Val Acc: 10.24%
[Epoch 22] Train Acc: 11.12% | Val Acc: 8.53%
[Epoch 23] Train Acc: 11.72% | Val Acc: 10.24%
[Epoch 24] Train Acc: 11.55% | Val Acc: 9.90%
[Epoch 25] Train Acc: 11.59% | Val Acc: 9.56%
[Epoch 26] Train Acc: 11.50% | Val Acc: 12.63%
[Epoch 27] Train Acc: 12.48% | Val Acc: 14.33%
[Epoch 28] Train Acc: 13.51% | Val Acc: 9.22%
[Epoch 29] Train Acc: 13.42% | Val Acc: 10.58%
[Epoch 30] Train Acc: 13.98% | Val Acc: 11.26%
[Epoch 31] Train Acc: 14.49% | Val Acc: 10.24%
[Epoch 32] Train Acc: 13.80% | Val Acc: 12.97%
[Epoch 33] Train Acc: 13.46% | Val Acc: 9.90%
[Epoch 34] Train Acc: 14.57% | Val Acc: 12.63%
[Epoch 35] Train Acc: 14.23% | Val Acc: 10.24%
[Epoch 36] Train Acc: 15.00% | Val Acc: 12.97%
[Epoch 37] Train Acc: 15.85% | Val Acc: 11.95%
[Epoch 38] Train Acc: 15.72% | Val Acc: 12.63%
[Epoch 39] Train Acc: 16.28% | Val Acc: 12.63%
[Epoch 40] Train Acc: 15.47% | Val Acc: 9.90%
[Epoch 41] Train Acc: 17.17% | Val Acc: 13.99%
[Epoch 42] Train Acc: 16.28% | Val Acc: 15.02%
[Epoch 43] Train Acc: 16.19% | Val Acc: 12.97%
[Epoch 44] Train Acc: 17.60% | Val Acc: 16.38%
[Epoch 45] Train Acc: 16.49% | Val Acc: 14.33%
[Epoch 46] Train Acc: 16.57% | Val Acc: 16.72%
[Epoch 47] Train Acc: 17.51% | Val Acc: 13.65%
[Epoch 48] Train Acc: 16.53% | Val Acc: 13.99%
[Epoch 49] Train Acc: 16.83% | Val Acc: 11.60%
[Epoch 50] Train Acc: 19.17% | Val Acc: 12.97%
[Epoch 51] Train Acc: 17.51% | Val Acc: 11.60%
[Epoch 52] Train Acc: 17.81% | Val Acc: 14.68%
[Epoch 53] Train Acc: 18.96% | Val Acc: 13.65%
[Epoch 54] Train Acc: 19.47% | Val Acc: 15.36%
[Epoch 55] Train Acc: 18.70% | Val Acc: 16.04%
[Epoch 56] Train Acc: 19.47% | Val Acc: 15.36%
[Epoch 57] Train Acc: 19.51% | Val Acc: 18.77%
[Epoch 58] Train Acc: 19.98% | Val Acc: 14.33%
[Epoch 59] Train Acc: 19.39% | Val Acc: 16.72%
[Epoch 60] Train Acc: 20.49% | Val Acc: 15.02%
[Epoch 61] Train Acc: 19.26% | Val Acc: 18.09%
[Epoch 62] Train Acc: 21.22% | Val Acc: 14.33%
[Epoch 63] Train Acc: 20.71% | Val Acc: 13.31%
[Epoch 64] Train Acc: 20.84% | Val Acc: 14.33%
[Epoch 65] Train Acc: 21.60% | Val Acc: 14.68%
[Epoch 66] Train Acc: 21.18% | Val Acc: 16.38%
[Epoch 67] Train Acc: 21.26% | Val Acc: 14.68%
[Epoch 68] Train Acc: 20.11% | Val Acc: 15.02%
[Epoch 69] Train Acc: 22.41% | Val Acc: 13.99%
[Epoch 70] Train Acc: 21.90% | Val Acc: 13.31%
[Epoch 71] Train Acc: 22.92% | Val Acc: 17.06%
[Epoch 72] Train Acc: 20.92% | Val Acc: 15.70%
[Epoch 73] Train Acc: 21.94% | Val Acc: 14.33%
[Epoch 74] Train Acc: 23.39% | Val Acc: 14.68%
[Epoch 75] Train Acc: 22.80% | Val Acc: 18.43%
[Epoch 76] Train Acc: 22.88% | Val Acc: 12.97%
[Epoch 77] Train Acc: 22.03% | Val Acc: 17.41%
[Epoch 78] Train Acc: 22.03% | Val Acc: 20.14%
[Epoch 79] Train Acc: 23.31% | Val Acc: 15.70%
[Epoch 80] Train Acc: 23.01% | Val Acc: 17.06%
[Epoch 81] Train Acc: 23.90% | Val Acc: 16.04%
[Epoch 82] Train Acc: 24.97% | Val Acc: 14.33%
[Epoch 83] Train Acc: 23.14% | Val Acc: 17.06%
[Epoch 84] Train Acc: 24.12% | Val Acc: 17.41%
[Epoch 85] Train Acc: 25.05% | Val Acc: 18.43%
[Epoch 86] Train Acc: 23.09% | Val Acc: 20.48%
[Epoch 87] Train Acc: 24.12% | Val Acc: 20.48%
[Epoch 88] Train Acc: 25.01% | Val Acc: 19.11%
[Epoch 89] Train Acc: 24.76% | Val Acc: 18.43%
[Epoch 90] Train Acc: 25.10% | Val Acc: 17.06%
[Epoch 91] Train Acc: 25.82% | Val Acc: 18.77%
[Epoch 92] Train Acc: 25.14% | Val Acc: 17.06%
[Epoch 93] Train Acc: 24.46% | Val Acc: 14.68%
[Epoch 94] Train Acc: 24.80% | Val Acc: 18.09%
[Epoch 95] Train Acc: 24.76% | Val Acc: 19.11%
[Epoch 96] Train Acc: 25.44% | Val Acc: 20.48%
[Epoch 97] Train Acc: 25.65% | Val Acc: 19.11%
[Epoch 98] Train Acc: 26.37% | Val Acc: 16.04%
[Epoch 99] Train Acc: 27.18% | Val Acc: 16.38%
[Epoch 100] Train Acc: 25.69% | Val Acc: 20.14%
✅ 모델 저장 완료: ./finger_printing/models/finger_printing/fp_model_CNNTransformer_20250330_021042.pt
