                                                                                                         
[Epoch 1] Train Acc: 1.02% | Val Acc: 1.02%
[Epoch 2] Train Acc: 0.68% | Val Acc: 0.68%
[Epoch 3] Train Acc: 0.89% | Val Acc: 0.68%
[Epoch 4] Train Acc: 0.98% | Val Acc: 0.68%
[Epoch 5] Train Acc: 0.94% | Val Acc: 2.05%
[Epoch 6] Train Acc: 1.24% | Val Acc: 0.68%
[Epoch 7] Train Acc: 0.85% | Val Acc: 0.68%
[Epoch 8] Train Acc: 0.72% | Val Acc: 0.00%
[Epoch 9] Train Acc: 1.07% | Val Acc: 0.00%
[Epoch 10] Train Acc: 1.32% | Val Acc: 0.00%
[Epoch 11] Train Acc: 0.89% | Val Acc: 0.00%
[Epoch 12] Train Acc: 0.81% | Val Acc: 0.00%
[Epoch 13] Train Acc: 1.49% | Val Acc: 0.00%
[Epoch 14] Train Acc: 1.02% | Val Acc: 0.00%
[Epoch 15] Train Acc: 0.89% | Val Acc: 0.00%
[Epoch 16] Train Acc: 0.81% | Val Acc: 0.00%
[Epoch 17] Train Acc: 1.32% | Val Acc: 0.34%
[Epoch 18] Train Acc: 1.24% | Val Acc: 0.34%
[Epoch 19] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 20] Train Acc: 1.02% | Val Acc: 0.34%
[Epoch 21] Train Acc: 0.89% | Val Acc: 0.34%
[Epoch 22] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 23] Train Acc: 0.98% | Val Acc: 0.34%
[Epoch 24] Train Acc: 0.98% | Val Acc: 0.34%
[Epoch 25] Train Acc: 0.64% | Val Acc: 0.34%
[Epoch 26] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 27] Train Acc: 0.81% | Val Acc: 0.34%
[Epoch 28] Train Acc: 1.07% | Val Acc: 0.34%
[Epoch 29] Train Acc: 0.94% | Val Acc: 0.34%
[Epoch 30] Train Acc: 0.89% | Val Acc: 0.34%
[Epoch 31] Train Acc: 1.58% | Val Acc: 0.34%
[Epoch 32] Train Acc: 1.02% | Val Acc: 0.34%
[Epoch 33] Train Acc: 1.32% | Val Acc: 0.34%
[Epoch 34] Train Acc: 0.94% | Val Acc: 0.34%
[Epoch 35] Train Acc: 1.02% | Val Acc: 0.34%
[Epoch 36] Train Acc: 0.98% | Val Acc: 0.34%
[Epoch 37] Train Acc: 0.94% | Val Acc: 0.00%
[Epoch 38] Train Acc: 1.15% | Val Acc: 0.34%
[Epoch 39] Train Acc: 1.15% | Val Acc: 0.00%
[Epoch 40] Train Acc: 1.11% | Val Acc: 0.34%
[Epoch 41] Train Acc: 1.02% | Val Acc: 0.34%
[Epoch 42] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 43] Train Acc: 1.15% | Val Acc: 0.34%
[Epoch 44] Train Acc: 1.11% | Val Acc: 0.34%
[Epoch 45] Train Acc: 0.85% | Val Acc: 0.00%
[Epoch 46] Train Acc: 0.89% | Val Acc: 0.34%
[Epoch 47] Train Acc: 0.85% | Val Acc: 0.34%
[Epoch 48] Train Acc: 0.85% | Val Acc: 0.34%
[Epoch 49] Train Acc: 0.98% | Val Acc: 0.00%
[Epoch 50] Train Acc: 1.11% | Val Acc: 0.34%
[Epoch 51] Train Acc: 1.11% | Val Acc: 0.34%
[Epoch 52] Train Acc: 1.02% | Val Acc: 0.34%
[Epoch 53] Train Acc: 0.72% | Val Acc: 0.00%
[Epoch 54] Train Acc: 0.64% | Val Acc: 0.00%
[Epoch 55] Train Acc: 0.81% | Val Acc: 0.00%
[Epoch 56] Train Acc: 0.89% | Val Acc: 0.00%
[Epoch 57] Train Acc: 0.85% | Val Acc: 0.00%
[Epoch 58] Train Acc: 0.81% | Val Acc: 0.00%
[Epoch 59] Train Acc: 0.94% | Val Acc: 0.00%
[Epoch 60] Train Acc: 0.85% | Val Acc: 0.00%
[Epoch 61] Train Acc: 0.72% | Val Acc: 0.00%
[Epoch 62] Train Acc: 0.72% | Val Acc: 0.00%
[Epoch 63] Train Acc: 0.89% | Val Acc: 0.00%
[Epoch 64] Train Acc: 0.89% | Val Acc: 0.00%
[Epoch 65] Train Acc: 0.72% | Val Acc: 0.00%
[Epoch 66] Train Acc: 0.85% | Val Acc: 0.34%
[Epoch 67] Train Acc: 0.60% | Val Acc: 0.34%
[Epoch 68] Train Acc: 0.81% | Val Acc: 0.34%
[Epoch 69] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 70] Train Acc: 0.64% | Val Acc: 0.34%
[Epoch 71] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 72] Train Acc: 0.60% | Val Acc: 0.34%
[Epoch 73] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 74] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 75] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 76] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 77] Train Acc: 0.68% | Val Acc: 0.34%
