2025-03-31 14:01:20,762 INFO    Thread-12 :36370 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-03-31 14:01:20,763 INFO    Thread-12 :36370 [wandb_setup.py:_flush():67] Configure stats pid to 36370
2025-03-31 14:01:20,763 INFO    Thread-12 :36370 [wandb_setup.py:_flush():67] Loading settings from /Users/gichanpark/.config/wandb/settings
2025-03-31 14:01:20,763 INFO    Thread-12 :36370 [wandb_setup.py:_flush():67] Loading settings from /Users/gichanpark/Desktop/castone_design/wandb/settings
2025-03-31 14:01:20,763 INFO    Thread-12 :36370 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-31 14:01:20,763 INFO    Thread-12 :36370 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/gichanpark/Desktop/castone_design/wandb/run-20250331_140120-c8ivs7tt/logs/debug.log
2025-03-31 14:01:20,763 INFO    Thread-12 :36370 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/gichanpark/Desktop/castone_design/wandb/run-20250331_140120-c8ivs7tt/logs/debug-internal.log
2025-03-31 14:01:20,763 INFO    Thread-12 :36370 [wandb_init.py:init():761] calling init triggers
2025-03-31 14:01:20,763 INFO    Thread-12 :36370 [wandb_init.py:init():766] wandb.init called with sweep_config: {'batch_size': 8, 'data_path': './finger_printing/datasets/augmented/wifi_rssi_log_augmented_20250331_000650.csv', 'dropout_rate': 0.1, 'early_stopping': True, 'embedding_dim': 32, 'epochs': 150, 'learning_rate': 0.0005, 'scheduler': False, 'transformer_heads': 2, 'transformer_layers': 3}
config: {'_wandb': {}}
2025-03-31 14:01:20,763 INFO    Thread-12 :36370 [wandb_init.py:init():784] starting backend
2025-03-31 14:01:20,763 INFO    Thread-12 :36370 [wandb_init.py:init():788] sending inform_init request
2025-03-31 14:01:20,765 INFO    Thread-12 :36370 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-03-31 14:01:20,765 INFO    Thread-12 :36370 [wandb_init.py:init():798] backend started and connected
2025-03-31 14:01:20,767 INFO    Thread-12 :36370 [wandb_run.py:_config_callback():1261] config_cb None None {'batch_size': 8, 'data_path': './finger_printing/datasets/augmented/wifi_rssi_log_augmented_20250331_000650.csv', 'dropout_rate': 0.1, 'early_stopping': True, 'embedding_dim': 32, 'epochs': 150, 'learning_rate': 0.0005, 'scheduler': False, 'transformer_heads': 2, 'transformer_layers': 3}
2025-03-31 14:01:20,771 INFO    Thread-12 :36370 [wandb_init.py:init():891] updated telemetry
2025-03-31 14:01:20,808 INFO    Thread-12 :36370 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-31 14:01:21,238 INFO    Thread-12 :36370 [wandb_init.py:init():990] starting run threads in backend
2025-03-31 14:01:21,299 INFO    Thread-12 :36370 [wandb_run.py:_console_start():2375] atexit reg
2025-03-31 14:01:21,299 INFO    Thread-12 :36370 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-31 14:01:21,299 INFO    Thread-12 :36370 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-31 14:01:21,300 INFO    Thread-12 :36370 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-31 14:01:21,300 INFO    Thread-12 :36370 [wandb_init.py:init():1032] run started, returning control to user process
2025-03-31 14:01:36,629 INFO    Thread-12 :36370 [wandb_run.py:_finish():2112] finishing run dguyanglab/wifi-fingerprinting/c8ivs7tt
2025-03-31 14:01:36,630 INFO    Thread-12 :36370 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 1
2025-03-31 14:01:36,630 INFO    Thread-12 :36370 [wandb_run.py:_restore():2322] restore
2025-03-31 14:01:36,630 INFO    Thread-12 :36370 [wandb_run.py:_restore():2328] restore done
2025-03-31 14:01:37,636 INFO    Thread-12 :36370 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-31 14:01:37,637 INFO    Thread-12 :36370 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-31 14:01:37,637 INFO    Thread-12 :36370 [wandb_run.py:_footer_sync_info():3917] logging synced files
