2025-04-09 01:45:48,179 INFO    Thread-350:19616 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-09 01:45:48,180 INFO    Thread-350:19616 [wandb_setup.py:_flush():67] Configure stats pid to 19616
2025-04-09 01:45:48,180 INFO    Thread-350:19616 [wandb_setup.py:_flush():67] Loading settings from C:\Users\lab\.config\wandb\settings
2025-04-09 01:45:48,180 INFO    Thread-350:19616 [wandb_setup.py:_flush():67] Loading settings from C:\Users\lab\Desktop\CapstoneDesign_FingerPrinting\wandb\settings
2025-04-09 01:45:48,180 INFO    Thread-350:19616 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-09 01:45:48,180 INFO    Thread-350:19616 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\lab\Desktop\CapstoneDesign_FingerPrinting\wandb\run-20250409_014548-mu5g9554\logs\debug.log
2025-04-09 01:45:48,180 INFO    Thread-350:19616 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\lab\Desktop\CapstoneDesign_FingerPrinting\wandb\run-20250409_014548-mu5g9554\logs\debug-internal.log
2025-04-09 01:45:48,180 INFO    Thread-350:19616 [wandb_init.py:init():761] calling init triggers
2025-04-09 01:45:48,180 INFO    Thread-350:19616 [wandb_init.py:init():766] wandb.init called with sweep_config: {'batch_size': 4, 'data_path': './finger_printing/datasets/merged/wifi_rssi_log_merged_20250404_002616.csv', 'dropout_rate': 0.1, 'early_stopping': False, 'embedding_dim': 8, 'epochs': 300, 'learning_rate': 0.001, 'scheduler': False, 'transformer_heads': 8, 'transformer_layers': 4}
config: {'_wandb': {}}
2025-04-09 01:45:48,180 INFO    Thread-350:19616 [wandb_init.py:init():784] starting backend
2025-04-09 01:45:48,180 INFO    Thread-350:19616 [wandb_init.py:init():788] sending inform_init request
2025-04-09 01:45:48,180 INFO    Thread-350:19616 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-09 01:45:48,187 INFO    Thread-350:19616 [wandb_init.py:init():798] backend started and connected
2025-04-09 01:45:48,188 INFO    Thread-350:19616 [wandb_run.py:_config_callback():1261] config_cb None None {'batch_size': 4, 'data_path': './finger_printing/datasets/merged/wifi_rssi_log_merged_20250404_002616.csv', 'dropout_rate': 0.1, 'early_stopping': False, 'embedding_dim': 8, 'epochs': 300, 'learning_rate': 0.001, 'scheduler': False, 'transformer_heads': 8, 'transformer_layers': 4}
2025-04-09 01:45:48,189 INFO    Thread-350:19616 [wandb_init.py:init():891] updated telemetry
2025-04-09 01:45:48,306 INFO    Thread-350:19616 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-09 01:45:48,779 INFO    Thread-350:19616 [wandb_init.py:init():990] starting run threads in backend
2025-04-09 01:45:49,362 INFO    Thread-350:19616 [wandb_run.py:_console_start():2375] atexit reg
2025-04-09 01:45:49,362 INFO    Thread-350:19616 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-09 01:45:49,363 INFO    Thread-350:19616 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-09 01:45:49,364 INFO    Thread-350:19616 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-09 01:45:49,365 INFO    Thread-350:19616 [wandb_init.py:init():1032] run started, returning control to user process
